Ticker,LTP,PE,EPS,Market Cap,52 Week High,52 Week Low,6 Month,1 Year,5 Year
ADANIGREEN,"₹
        1,89,830
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADANIPORTS,"₹
        2,72,167
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMBUJACEM,"₹
        1,41,075
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APOLLOHOSP,"₹
        1,04,380
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASIANPAINT,"₹
        2,30,941
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AXISBANK,"₹
        3,55,330
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAJAJFINSV,"₹
        2,68,191
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAJFINANCE,"₹
        4,44,613
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BHARTIARTL,"₹
        10,07,452
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BPCL,"₹
        1,30,893
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRITANNIA,"₹
        1,16,824
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CIPLA,"₹
        1,16,886
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DIVISLAB,"₹
        1,56,008
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DRREDDY,"₹
        1,03,997
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EICHERMOT,"₹
        1,32,294
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRASIM,"₹
        1,77,317
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HDFC,"₹
        5,04,384
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HDFCBANK,"₹
        14,30,929
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HEROMOTOCO,"₹
        91,509
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HINDALCO,"₹
        1,48,789
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HINDUNILVR,"₹
        5,61,576
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ICICIBANK,"₹
        9,49,165
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ITC,"₹
        5,88,008
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JSWSTEEL,"₹
        2,44,509
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KOTAKBANK,"₹
        3,58,993
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LUPIN,"₹
        94,741
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARUTI,"₹
        3,54,412
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
M&M,"₹
        3,83,181
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NESTLEIND,"₹
        2,17,273
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NTPC,"₹
        3,46,316
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ONGC,"₹
        3,19,854
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POWERGRID,"₹
        3,10,501
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RELIANCE,"₹
        17,22,468
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBIN,"₹
        7,68,901
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SHREECEM,"₹
        99,552
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SUNPHARMA,"₹
        4,35,107
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TATACONSUM,"₹
        91,990
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TATAMOTORS,"₹
        2,90,919
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TATAPOWER,"₹
        1,36,904
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TCS,"₹
        16,18,696
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TECHM,"₹
        1,75,813
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TITAN,"₹
        3,11,511
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ULTRACEMCO,"₹
        3,48,860
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UPL,"₹
        46,465
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WIPRO,"₹
        3,24,338
        
          Cr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
